file_id,source_id,onset_ms,sampling_rate,snr_db,rms_db,peak_amplitude,is_clipped
XC472545_4717,472545,4717,16000,29.20,-21.85,0.6754,False
XC472545_627,472545,627,16000,23.74,-28.69,0.2894,False
XC472545_7985,472545,7985,16000,24.08,-28.29,0.4638,False
XC503850_11764,503850,11764,16000,8.40,-24.03,0.5972,False
XC503850_13895,503850,13895,16000,6.61,-26.27,0.5269,False
XC503850_1733,503850,1733,16000,4.98,-26.81,0.3863,False
XC503850_23827,503850,23827,16000,5.85,-24.35,0.4185,False
XC503850_30903,503850,30903,16000,4.65,-24.98,0.4272,False
XC503850_37154,503850,37154,16000,7.77,-25.21,0.4974,False
XC503850_43605,503850,43605,16000,5.16,-24.04,0.5482,False
XC503850_49707,503850,49707,16000,3.30,-26.31,0.3235,False
XC503850_54716,503850,54716,16000,7.32,-26.01,0.5321,False
XC503850_6455,503850,6455,16000,5.91,-27.19,0.4014,False
XC505882_14371,505882,14371,16000,10.30,-40.10,0.0721,False
XC505882_2051,505882,2051,16000,16.98,-32.31,0.1824,False
XC505882_32097,505882,32097,16000,9.41,-39.86,0.0847,False
XC505882_43279,505882,43279,16000,9.73,-37.85,0.1180,False
XC505882_44918,505882,44918,16000,9.06,-37.58,0.1417,False
XC505882_53037,505882,53037,16000,10.97,-38.55,0.1349,False
XC505882_54955,505882,54955,16000,14.33,-39.00,0.1385,False
XC505882_56053,505882,56053,16000,24.83,-43.43,0.1194,False
XC505883_17731,505883,17731,16000,8.36,-39.84,0.0749,False
XC505883_21798,505883,21798,16000,12.55,-32.96,0.1397,False
XC505883_23175,505883,23175,16000,12.19,-32.99,0.2048,False
XC505883_26591,505883,26591,16000,7.82,-33.57,0.1540,False
XC505883_30993,505883,30993,16000,7.92,-36.63,0.1300,False
XC505883_34232,505883,34232,16000,8.35,-35.61,0.1696,False
XC505883_3595,505883,3595,16000,7.54,-39.90,0.0706,False
XC505883_37105,505883,37105,16000,10.92,-35.96,0.1364,False
XC505883_39884,505883,39884,16000,8.71,-33.75,0.1563,False
XC505883_52833,505883,52833,16000,7.71,-35.69,0.1068,False
XC506210_22077,506210,22077,16000,17.78,-30.68,0.1969,False
XC506210_32314,506210,32314,16000,15.00,-33.66,0.1946,False
XC506210_42707,506210,42707,16000,15.23,-30.48,0.2479,False
XC506210_58589,506210,58589,16000,16.24,-32.62,0.2036,False
XC506210_859,506210,859,16000,16.40,-32.19,0.1743,False
XC518361_121955,518361,121955,16000,10.23,-54.97,0.0087,False
XC518361_141460,518361,141460,16000,9.85,-58.56,0.0089,False
XC518361_15476,518361,15476,16000,9.50,-52.00,0.0169,False
XC518361_27905,518361,27905,16000,6.11,-59.39,0.0073,False
XC518361_39684,518361,39684,16000,8.57,-58.41,0.0114,False
XC518361_43540,518361,43540,16000,8.65,-54.29,0.0135,False
XC518361_67947,518361,67947,16000,11.39,-56.56,0.0171,False
XC518361_82761,518361,82761,16000,4.61,-43.51,0.0294,False
XC518361_98820,518361,98820,16000,11.29,-54.22,0.0186,False
XC533469_10061,533469,10061,16000,29.37,-22.82,0.5576,False
XC533469_13265,533469,13265,16000,8.53,-44.46,0.1457,False
XC533469_16595,533469,16595,16000,28.51,-27.50,0.3932,False
XC533469_1914,533469,1914,16000,33.59,-19.42,0.7455,False
