source_id,species_common,species_scientific,quality_grade,cc_license,type_label,latitude,longitude,country
179229,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-SA-4.0,"call, song",23.3314,85.3193,India
179372,Collared Kingfisher,Todiramphus chloris,A,CC-BY-NC-SA-4.0,call,14.6434,120.9889,Philippines
179374,Collared Kingfisher,Todiramphus chloris,B,CC-BY-NC-SA-4.0,call,14.6434,120.9889,Philippines
181238,Collared Kingfisher,Todiramphus chloris,A,CC-BY-NC-SA-4.0,song,9.1062,122.9877,Philippines
181242,Collared Kingfisher,Todiramphus chloris,A,CC-BY-NC-SA-4.0,song,9.8797,122.3745,Philippines
181991,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-4.0,song,6.3161,81.483,Sri Lanka
181992,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-4.0,song,6.3161,81.483,Sri Lanka
181995,White-throated Kingfisher,Halcyon smyrnensis,B,CC-BY-NC-ND-4.0,call,6.3161,81.483,Sri Lanka
182810,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-SA-4.0,song,31.9165,114.2253,China
182906,Yellow-vented Bulbul,Pycnonotus goiavier,C,CC-BY-NC-SA-4.0,call,-8.7868,115.2218,Indonesia
183208,Spotted Dove,Spilopelia chinensis,B,CC-BY-NC-ND-4.0,call,6.3161,81.483,Sri Lanka
183486,Common Tailorbird,Orthotomus sutorius,A,CC-BY-NC-SA-4.0,song,5.7999,101.8323,Thailand
184289,Common Iora,Aegithina tiphia,B,CC-BY-NC-ND-4.0,"call, song",15.3622,73.8918,India
184698,Yellow-vented Bulbul,Pycnonotus goiavier,C,CC-BY-NC-SA-4.0,song,14.5424,121.0262,Philippines
184706,White-throated Kingfisher,Halcyon smyrnensis,B,CC-BY-NC-ND-4.0,call,15.6127,74.0647,India
185648,Spotted Dove,Spilopelia chinensis,B,CC-BY-NC-SA-4.0,song,14.5093,101.9353,Thailand
185772,Yellow-vented Bulbul,Pycnonotus goiavier,C,CC-BY-NC-SA-4.0,call,14.6523,120.9972,Philippines
186559,Collared Kingfisher,Todiramphus chloris,B,CC-BY-NC-SA-4.0,call,5.8664,117.9506,Malaysia
187028,Coppersmith Barbet,Psilopogon haemacephalus,B,CC-BY-NC-SA-4.0,call,23.5362,87.3451,India
187343,Yellow-vented Bulbul,Pycnonotus goiavier,C,CC-BY-NC-SA-4.0,call,14.6523,120.9972,Philippines
187429,Common Iora,Aegithina tiphia,A,CC-BY-NC-ND-4.0,song,15.3622,73.8918,India
187664,White-throated Kingfisher,Halcyon smyrnensis,B,CC-BY-NC-ND-4.0,call,23.5341,87.3444,India
188009,Yellow-vented Bulbul,Pycnonotus goiavier,C,CC-BY-NC-SA-4.0,call,14.6523,120.9972,Philippines
188426,White-breasted Waterhen,Amaurornis phoenicurus,A,CC-BY-NC-ND-4.0,"call, song",15.2087,74.1258,India
189108,Common Iora,Aegithina tiphia,B,CC-BY-NC-SA-4.0,song,18.3802,73.7679,India
189123,White-throated Kingfisher,Halcyon smyrnensis,B,CC-BY-NC-SA-4.0,"call, song",18.5206,73.8398,India
189204,White-throated Kingfisher,Halcyon smyrnensis,B,CC-BY-NC-ND-4.0,"alarm call, song",15.4346,74.0985,India
189420,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-SA-4.0,song,11.0036,76.9537,India
190308,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-SA-4.0,song,9.6446,118.728,Philippines
190858,White-breasted Waterhen,Amaurornis phoenicurus,A,CC-BY-NC-SA-3.0,song,6.2917,81.2685,Sri Lanka
190859,White-breasted Waterhen,Amaurornis phoenicurus,B,CC-BY-NC-SA-3.0,call,6.2917,81.2685,Sri Lanka
